name,score,Native,Romaji,English,Hashtag,Season,Favorites,Popularity,Genres,Tags,Status Distribution,Prequel,Sequel,addictive,indecisive,forgettable,NoLoved,excelent,loved,choosed,Violence,Cliche,Action,Adventure,Comedy,Ecchi,Harem,Drama,Mystery,Romance,Fantasy,Mahou Shoujo,Magic,Horror,Sci-Fi,Mecha,Supernatural,Historical,Military,Politics,Isekai,Slice of Life,School life,Sports,Arts,Cute,Music,idol,Psychological,Spokon,Protagonist,Female Protagonist,Male Protagonist,Ensemble Cast,Shounen,Shoujo,Seinen,Josei,Worldbuilding,Iyashikei
Kimetsu no Yaiba: Yuukaku-hen,87,鬼滅の刃 遊郭編,Kimetsu no Yaiba: Yuukaku-hen,Demon Slayer: Kimetsu no Yaiba Entertainment District Arc,#鬼滅の刃,Winter 2022,11187,224222,"Action, Adventure, Drama, Fantasy, Supernatural","Demons, 97%, Swordplay, 93%, Shounen, 92%, Male Protagonist, 87%, Oiran, 80%, Gore, 71%, Super Power, 71%, Primarily Teen Cast, 70%, Primarily Male Cast, 66%, Ninja, 64%, Historical, 64%, Body Horror, 63%, Urban, 60%, Tragedy, 57%, Monster Girl, 56%, Orphan, 53%, CGI, 52%, Female Harem, 47%, Show 3 spoiler tags","['Completed', '176809', 'Users', 'Current', '22274', 'Users', 'Planning', '22183', 'Users', 'Paused', '2096', 'Users']",True,True,0.0,0.13,0.0,1743.75,973269,4.34,4.89,1.11,,14.05,7.82,,,0.73,9.47,,,15.51,,,0.98,,,11.59,1.0,,0.94,,,,,,,,,,,1.36,,1.36,,1.44,,,,,
Shingeki no Kyojin: The Final Season Part 2,86,進撃の巨人 The Final Season Part 2,Shingeki no Kyojin: The Final Season Part 2,Attack on Titan Final Season Part 2,#shingeki,Winter 2022,9661,222319,"Action, Drama, Fantasy, Mystery, Psychological","Military, 90%, Survival, 88%, Kaiju, 83%, Philosophy, 83%, Male Protagonist, 79%, Gore, 77%, Primarily Adult Cast, 69%, Ensemble Cast, 67%, CGI, 61%, Shounen, 60%, Female Protagonist, 60%, Guns, 55%, Kuudere, 43%, Show 11 spoiler tags","['Completed', '132706', 'Users', 'Planning', '46519', 'Users', 'Current', '35690', 'Users', 'Paused', '4972', 'Users']",True,True,0.0,0.35,0.0,1979.03,830846,3.74,4.93,1.03,0.57,10.18,,,,,9.01,6.66,,6.66,,,,,,,,1.57,1.11,,,,,,,,,8.88,,2.75,0.8,1.05,0.89,0.8,,,,,
Sono Bisque Doll wa Koi wo Suru,82,その着せ替え人形は恋をする,Sono Bisque Doll wa Koi wo Suru,My Dress-Up Darling,#着せ恋 #kisekoi,Winter 2022,10638,187867,"Comedy, Ecchi, Romance, Slice of Life","Cosplay, 98%, Otaku Culture, 91%, Fashion, 90%, Male Protagonist, 88%, Primarily Teen Cast, 85%, Heterosexual, 85%, Female Protagonist, 85%, Gyaru, 84%, Makeup, 78%, Seinen, 70%, Photography, 65%, Slapstick, 50%, Feet, 48%, School, 45%, Nudity, 45%, Coming of Age, 34%, Tanned Skin, 28%, Show 2 spoiler tags","['Completed', '123262', 'Users', 'Planning', '33005', 'Users', 'Current', '23124', 'Users', 'Dropped', '4946', 'Users']",False,True,24.92,0.27,0.04,1448.12,872316,4.64,5.96,,1.33,,,9.51,9.35,,0.54,,10.62,,,,,,,,,,,,7.93,0.71,,2.46,,,,,,2.74,1.35,1.4,,,,1.11,,,
Arifureta Shokugyou de Sekai Saikyou 2nd Season,71,ありふれた職業で世界最強 2nd season,Arifureta Shokugyou de Sekai Saikyou 2nd Season,"""Arifureta: From Commonplace to Worlds Strongest Season 2""",#ありふれた #ARIFURETA,Winter 2022,1912,65426,"Action, Adventure, Fantasy, Psychological","Isekai, 95%, Anti-Hero, 91%, Female Harem, 85%, Male Protagonist, 85%, Magic, 82%, Dungeon, 81%, Guns, 73%, Demons, 72%, Primarily Female Cast, 70%, Monster Girl, 67%, Vampire, 65%, CGI, 64%, Primarily Teen Cast, 60%, Satire, 58%, Kemonomimi, 53%, Slavery, 36%, Cosmic Horror, 26%, Show 5 spoiler tags","['Completed', '29948', 'Users', 'Planning', '22875', 'Users', 'Current', '8532', 'Users', 'Dropped', '2377', 'Users']",True,True,12.6,0.76,0.08,2429.52,135752,2.07,3.53,,0.32,3.9,3.02,0.35,,0.51,,,,6.08,,0.5,0.16,,,0.43,,0.44,0.22,0.57,,,,,0.42,,,3.02,,0.51,,0.51,,,,,,,
Vanitas no Carte Part 2,81,ヴァニタスの手記 2クール,Vanitas no Carte Part 2,The Case Study of Vanitas Part 2,#ヴァニタス,Winter 2022,1756,55484,"Action, Drama, Fantasy, Mystery, Supernatural","Vampire, 98%, Foreign, 92%, Male Protagonist, 92%, Primarily Adult Cast, 89%, Steampunk, 87%, Tragedy, 81%, Anti-Hero, 79%, Historical, 75%, Shounen, 65%, Heterosexual, 58%, Detective, 54%, Revenge, 33%, Show 6 spoiler tags","['Completed', '26296', 'Users', 'Planning', '20380', 'Users', 'Current', '6439', 'Users', 'Paused', '1531', 'Users']",True,False,0.0,0.78,0.0,2559.34,142236,2.56,4.35,,,4.33,,,,,4.9,5.26,0.5,6.02,,,,,,4.33,0.65,,,,,,,,,,,,,0.8,,0.8,,0.56,,,,0.75,
Tensai Ouji no Akaji Kokka Saisei Jutsu,72,天才王子の赤字国家再生術,Tensai Ouji no Akaji Kokka Saisei Jutsu,"""The Genius Princes Guide to Raising a Nation Out of Debt""",#天才王子,Winter 2022,1160,52871,"Comedy, Fantasy","Politics, 97%, Male Protagonist, 84%, Military, 83%, Economics, 81%, Female Harem, 52%, Religion, 47%, Nudity, 36%, Gore, 30%, Show 2 spoiler tags","['Completed', '26013', 'Users', 'Planning', '15796', 'Users', 'Current', '6809', 'Users', 'Dropped', '2706', 'Users']",False,False,9.61,0.61,0.1,3281.65,83520,1.58,2.54,0.14,,0.14,,2.34,0.17,0.24,,,,2.34,,,,,,,,0.39,1.05,,,,,,,,,0.45,,0.39,,0.39,,,,,,,
Sabikui Bisco,71,錆喰いビスコ,Sabikui Bisco,Sabikui Bisco,#錆喰いビスコ,Winter 2022,872,50392,"Action, Adventure, Fantasy","Post-Apocalyptic, 95%, Male Protagonist, 85%, Medicine, 83%, Pandemic, 80%, Archery, 78%, Drugs, 76%, Cyberpunk, 66%, Kaiju, 55%, Guns, 49%, Animals, 48%, Motorcycles, 28%, Kids, 10%, Show 7 spoiler tags","['Completed', '20528', 'Users', 'Planning', '17613', 'Users', 'Current', '6696', 'Users', 'Dropped', '3533', 'Users']",False,False,5.81,0.86,0.17,4103.02,61912,1.23,2.27,,,2.14,1.79,,,,,,,1.79,,,,0.24,,,,0.18,0.27,,,,,,,,,,,0.3,,0.3,,,,,,0.34,
Shikkakumon no Saikyou Kenja,61,失格紋の最強賢者,Shikkakumon no Saikyou Kenja,The Strongest Sage with the Weakest Crest,#失格紋,Winter 2022,758,44114,"Action, Adventure, Comedy, Fantasy, Romance, Slice of Life","Reincarnation, 90%, Demons, 86%, Magic, 86%, Male Protagonist, 77%, Conspiracy, 65%, Heterosexual, 57%, Primarily Teen Cast, 55%, Dungeon, 54%, Swordplay, 53%, School, 53%, Female Harem, 52%, Show 3 spoiler tags","['Completed', '24401', 'Users', 'Planning', '9074', 'Users', 'Current', '5755', 'Users', 'Dropped', '3922', 'Users']",False,False,6.22,0.37,0.16,3550.07,46238,1.05,1.53,,,1.46,1.2,1.2,,0.13,,,1.48,2.29,,0.21,,,,0.21,,,,,1.2,0.13,,,,,,,,0.19,,0.19,,,,,,,
Sasaki to Miyano,82,佐々木と宮野,Sasaki to Miyano,Sasaki and Miyano,#佐々木と宮野,Winter 2022,2295,42430,"Comedy, Romance, Slice of Life","""Boys Love"", 96%, LGBTQ+ Themes, 94%, Male Protagonist, 91%, Primarily Teen Cast, 90%, Meta, 86%, School, 85%, Cute Boys Doing Cute Things, 82%, Otaku Culture, 81%, Primarily Male Cast, 80%, Shoujo, 76%, Iyashikei, 60%, Coming of Age, 53%, Chibi, 49%, Trains, 26%, Show 2 spoiler tags","['Completed', '18705', 'Users', 'Planning', '15225', 'Users', 'Current', '5743', 'Users', 'Dropped', '1481', 'Users']",False,True,12.63,0.81,0.08,1516.02,188190,4.44,7.7,,,,0.39,7.57,,,0.8,,10.48,,,,,,,,,,,,9.39,1.29,,,1.98,,,,,1.38,,1.38,,,1.15,,,,0.91
Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2,74,現実主義勇者の王国再建記 第二部,Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2,How a Realist Hero Rebuilt the Kingdom Part 2,#現国アニメ,Winter 2022,891,41302,"Action, Adventure, Fantasy, Romance","Isekai, 93%, Politics, 86%, Male Protagonist, 80%, Economics, 77%, Female Harem, 71%, Heterosexual, 64%, Agriculture, 43%, Magic, 26%, Tsundere, 20%, Show 4 spoiler tags","['Completed', '24793', 'Users', 'Planning', '9727', 'Users', 'Current', '4735', 'Users', 'Dropped', '1122', 'Users']",True,False,22.1,0.39,0.05,3430.24,65934,1.6,2.23,,0.1,2.44,2.44,,,0.35,,,3.07,2.7,,0.13,,,,,,,0.8,0.45,0.21,,,,,,,0.42,,0.39,,0.39,,,,,,,
